film,oseba,vloga,mesto
58213,12,I,1
58213,14,I,2
58213,1072,I,3
58213,1547,I,4
58213,736,R,1
58249,603402,I,1
58249,350196,I,2
58249,681566,I,3
58249,412245,I,4
58249,320,R,1
58279,586733,I,1
58279,33171,I,2
58279,913843,I,3
58279,411146,I,4
58279,462030,R,1
58329,1335,I,1
58329,125,I,2
58329,300010,I,3
58329,490103,I,4
58329,33,R,1
58331,267,I,1
58331,1813,I,2
58331,866835,I,3
58331,424318,I,4
58331,829038,R,1
58333,1637,I,1
58333,183764,I,2
58333,38870,I,3
58333,922935,I,4
58333,339,R,1
58335,47,I,1
58335,52,I,2
58335,700112,I,3
58335,769070,I,4
58335,1120,R,1
58385,30,I,1
58385,1322,I,2
58385,391361,I,3
58385,405035,I,4
58385,2030,R,1
58404,9,I,1
58404,1257,I,2
58404,39,I,3
58404,528987,I,4
58404,1379,R,1
58430,652961,I,1
58430,949030,I,2
58430,766225,I,3
58430,881303,I,4
58430,793881,R,1
58450,366,I,1
58450,144875,I,2
58450,894636,I,3
58450,584879,I,4
58450,218840,R,1
58453,34,I,1
58453,30,I,2
58453,39510,I,3
58453,124482,I,4
58453,703689,R,1
58461,142,I,1
58461,2231,I,2
58461,462367,I,3
58461,525742,I,4
58461,1466,R,1
58548,130095,I,1
58548,382902,I,2
58548,65301,I,3
58548,567343,I,4
58548,916977,R,1
58567,593192,I,1
58567,58982,I,2
58567,707030,I,3
58567,330965,I,4
58567,878,R,1
58576,44,I,1
58576,18,I,2
58576,545298,I,3
58576,1257,I,4
58576,1239,R,1
58586,634,I,1
58586,813961,I,2
58586,1695,I,3
58586,7042,I,4
58586,1175,R,1
58604,180959,I,1
58604,939991,I,2
58604,302615,I,3
58604,306456,I,4
58604,435563,R,1
58625,645402,I,1
58625,457219,I,2
58625,411694,I,3
58625,594062,I,4
58625,856267,R,1
58672,580479,I,1
58672,1811,I,2
58672,1703,I,3
58672,605923,I,4
58672,202088,R,1
58700,1637,I,1
58700,79399,I,2
58700,199618,I,3
58700,744351,I,4
58700,706575,R,1
58700,758508,R,2
58715,409820,I,1
58715,142318,I,2
58715,664666,I,3
58715,603091,I,4
58715,1596,R,1
58777,48939,I,1
58777,370144,I,2
58777,414965,I,3
58777,95718,I,4
58777,256831,R,1
58888,1536,I,1
58888,443232,I,2
58888,945734,I,3
58888,199029,I,4
58888,41,R,1
58898,176061,I,1
58898,439344,I,2
58898,848667,I,3
58898,92316,I,4
58898,419,R,1
58946,352835,I,1
58946,552483,I,2
58946,754272,I,3
58946,449197,I,4
58946,690597,R,1
58947,20,I,1
58947,1727,I,2
58947,752813,I,3
58947,763,I,4
58947,2175,R,1
58997,1158,I,1
58997,528595,I,2
58997,59,I,3
58997,402558,I,4
58997,695937,R,1
59012,80,I,1
59012,603402,I,2
59012,751983,I,3
59012,24,I,4
59012,80,R,1
59017,404,I,1
59017,1511,I,2
59017,130286,I,3
59017,382722,I,4
59017,799033,R,1
59037,537,I,1
59037,268,I,2
59037,64,I,3
59037,1500,I,4
59037,422484,R,1
59043,654,I,1
59043,2058,I,2
59043,913332,I,3
59043,198090,I,4
59043,943758,R,1
59113,1725,I,1
59113,1046,I,2
59113,1036,I,3
59113,1768,I,4
59113,180,R,1
59127,489,I,1
59127,791176,I,2
59127,445139,I,3
59127,560022,I,4
59127,279807,R,1
59170,766100,I,1
59170,354486,I,2
59170,931186,I,3
59170,55274,I,4
59170,540,R,1
59183,71,I,1
59183,277,I,2
59183,2075,I,3
59183,473228,I,4
59183,736,R,1
59229,556399,I,1
59229,590452,I,2
59229,685609,I,3
59229,181305,I,4
59229,19,R,1
59243,348,I,1
59243,81,I,2
59243,493,I,3
59243,393,I,4
59243,1175,R,1
59245,1884,I,1
59245,570192,I,2
59245,32,I,3
59245,26295,I,4
59245,828419,R,1
59245,180,R,2
59245,624535,R,3
59260,6168,I,1
59260,5200,I,2
59260,365600,I,3
59260,823592,I,4
59260,504513,R,1
59274,125,I,1
59274,28674,I,2
59274,846,I,3
59274,528224,I,4
59274,1486,R,1
59309,78,I,1
59309,18,I,2
59309,623658,I,3
59309,874502,I,4
59309,695937,R,1
59319,323,I,1
59319,338210,I,2
59319,230934,I,3
59319,516145,I,4
59319,2089,R,1
59464,608068,I,1
59464,871403,I,2
59464,675079,I,3
59464,112118,I,4
59464,714215,R,1
59464,504496,R,2
59527,436706,I,1
59527,472166,I,2
59527,958903,I,3
59527,805908,I,4
59527,434443,R,1
59527,460033,R,2
59550,218849,I,1
59550,700127,I,2
59550,807032,I,3
59550,60002,I,4
59550,301145,R,1
59575,1768,I,1
59575,280242,I,2
59575,676349,I,3
59575,844969,I,4
59575,1486,R,1
59578,142,I,1
59578,1812,I,2
59578,2231,I,3
59578,472756,I,4
59578,1466,R,1
59592,901,I,1
59592,439344,I,2
59592,303413,I,3
59592,7631,I,4
59592,419,R,1
59646,366,I,1
59646,376915,I,2
59646,292159,I,3
59646,299014,I,4
59646,591,R,1
59711,71,I,1
59711,565982,I,2
59711,179148,I,3
59711,915618,I,4
59711,572132,R,1
59740,78,I,1
59740,1509,I,2
59740,405054,I,3
59740,26295,I,4
59740,368871,R,1
59742,267,I,1
59742,1626,I,2
59742,662223,I,3
59742,370821,I,4
59742,936404,R,1
59749,9,I,1
59749,921459,I,2
59749,1954,I,3
59749,910737,I,4
59749,728688,R,1
59800,125,I,1
59800,805,I,2
59800,148041,I,3
59800,658885,I,4
59800,950109,R,1
59825,44,I,1
59825,6890,I,2
59825,603402,I,3
59825,282530,I,4
59825,1239,R,1
59825,671957,R,2
59885,69,I,1
59885,2145,I,2
59885,141123,I,3
59885,223290,I,4
59885,733476,R,1
59903,634,I,1
59903,564,I,2
59903,2769,I,3
59903,1010,I,4
59903,232795,R,1
60086,323,I,1
60086,1859,I,2
60086,552815,I,3
60086,287905,I,4
60086,318150,R,1
60107,813463,I,1
60107,487553,I,2
60107,342458,I,3
60107,785108,I,4
60107,1789,R,1
60138,926723,I,1
60138,338398,I,2
60138,480711,I,3
60138,346903,I,4
60138,975,R,1
60153,1842,I,1
60153,911431,I,2
60153,580886,I,3
60153,3110,I,4
60153,554169,R,1
60176,376101,I,1
60176,603,I,2
60176,587234,I,3
60176,145284,I,4
60176,774,R,1
60196,142,I,1
60196,908919,I,2
60196,1812,I,3
60196,321294,I,4
60196,1466,R,1
60232,8,I,1
60232,404,I,2
60232,602,I,3
60232,550855,I,4
60232,671957,R,1
60268,587,I,1
60268,233753,I,2
60268,822034,I,3
60268,532290,I,4
60268,591,R,1
60277,619938,I,1
60277,33171,I,2
60277,443232,I,3
60277,619824,I,4
60277,645477,R,1
60315,626259,I,1
60315,133531,I,2
60315,126960,I,3
60315,135489,I,4
60315,179281,R,1
60390,921459,I,1
60390,1046,I,2
60390,159258,I,3
60390,226446,I,4
60390,76,R,1
60397,963,I,1
60397,79,I,2
60397,639529,I,3
60397,587,I,4
60397,281507,R,1
60424,493,I,1
60424,527,I,2
60424,723707,I,3
60424,922165,I,4
60424,697,R,1
60438,609216,I,1
60438,799014,I,2
60438,36,I,3
60438,186903,I,4
60438,504513,R,1
60472,1258,I,1
60472,1693,I,2
60472,598971,I,3
60472,1536,I,4
60472,1239,R,1
60474,100186,I,1
60474,86,I,2
60474,111610,I,3
60474,661759,I,4
60474,653620,R,1
60490,56,I,1
60490,2,I,2
60490,364915,I,3
60490,384050,I,4
60490,806915,R,1
60522,30,I,1
60522,564,I,2
60522,908919,I,3
60522,341518,I,4
60522,943758,R,1
60584,218849,I,1
60584,890046,I,2
60584,262234,I,3
60584,594796,I,4
60584,301145,R,1
60665,6890,I,1
60665,384908,I,2
60665,1727,I,3
60665,571674,I,4
60665,3593,R,1
60666,412492,I,1
60666,721786,I,2
60666,537248,I,3
60666,912849,I,4
60666,912849,R,1
60675,529543,I,1
60675,333014,I,2
60675,423381,I,3
60675,213502,I,4
60675,419,R,1
60782,79,I,1
60782,724623,I,2
60782,378612,I,3
60782,114533,I,4
60782,149548,R,1
60802,623948,I,1
60802,814162,I,2
60802,111003,I,3
60802,884044,I,4
60802,579954,R,1
60827,761,I,1
60827,880521,I,2
60827,472234,I,3
60827,85038,I,4
60827,5,R,1
60862,44,I,1
60862,1511,I,2
60862,752813,I,3
60862,834754,I,4
60862,112218,R,1
60921,5348,I,1
60921,1693,I,2
60921,273,I,3
60921,1417,I,4
60921,422484,R,1
60934,537,I,1
60934,277,I,2
60934,1077,I,3
60934,298,I,4
60934,936404,R,1
60955,1369,I,1
60955,132100,I,2
60955,709907,I,3
60955,717265,I,4
60955,1239,R,1
60959,439037,I,1
60959,148581,I,2
60959,149091,I,3
60959,2531170,I,4
60959,161615,R,1
61107,56,I,1
61107,267,I,2
61107,444321,I,3
61107,271544,I,4
61107,33,R,1
61138,733,I,1
61138,4462,I,2
61138,56435,I,3
61138,481412,I,4
61138,500988,R,1
61177,95,I,1
61177,522722,I,2
61177,125518,I,3
61177,489837,I,4
61177,95,R,1
61177,849474,R,2
61184,72,I,1
61184,9,I,2
61184,1719,I,3
61184,6800,I,4
61184,1566,R,1
61369,136789,I,1
61369,603600,I,2
61369,868139,I,3
61369,431025,I,4
61369,329679,R,1
61385,602,I,1
61385,404,I,2
61385,964,I,3
61385,622450,I,4
61385,757256,R,1
61391,177228,I,1
61391,1545,I,2
61391,111376,I,3
61391,79,I,4
61391,2045,R,1
61395,366,I,1
61395,814799,I,2
61395,681566,I,3
61395,656180,I,4
61395,320,R,1
61418,886,I,1
61418,1159,I,2
61418,689488,I,3
61418,432,I,4
61418,671957,R,1
61452,57,I,1
61452,634,I,2
61452,266,I,3
61452,80,I,4
61452,346436,R,1
61452,400731,R,2
61452,1379,R,3
61452,569825,R,4
61452,663577,R,5
61452,848234,R,6
61512,56,I,1
61512,1421,I,2
61512,1510,I,3
61512,134201,I,4
61512,742341,R,1
61578,1511,I,1
61578,308,I,2
61578,314,I,3
61578,1023,I,4
61578,736,R,1
61584,1322,I,1
61584,2058,I,2
61584,627969,I,3
61584,277,I,4
61584,281507,R,1
61619,78,I,1
61619,53,I,2
61619,1001,I,3
61619,392392,I,4
61619,1328,R,1
61655,532290,I,1
61655,591,I,2
61655,60023,I,3
61655,732305,I,4
61655,591,R,1
61722,163,I,1
61722,843,I,2
61722,1684,I,3
61722,200122,I,4
61722,1566,R,1
61735,75,I,1
61735,1627,I,2
61735,31,I,3
61735,396455,I,4
61735,6452,R,1
61747,142,I,1
61747,828447,I,2
61747,385757,I,3
61747,3225,I,4
61747,692872,R,1
61770,56,I,1
61770,545298,I,2
61770,95524,I,3
61770,162283,I,4
61770,728688,R,1
61781,903762,I,1
61781,780918,I,2
61781,885304,I,3
61781,213371,I,4
61781,1232,R,1
61809,86706,I,1
61809,934113,I,2
61809,1234,I,3
61809,829717,I,4
61809,112218,R,1
61811,1627,I,1
61811,1768,I,2
61811,643105,I,3
61811,335519,I,4
61811,422484,R,1
61847,1536,I,1
61847,875362,I,2
61847,441351,I,3
61847,251177,I,4
61847,462030,R,1
61852,365201,I,1
61852,1982,I,2
61852,697515,I,3
61852,718624,I,4
61852,718627,R,1
61852,19282,R,2
61852,455741,R,3
61882,794425,I,1
61882,644558,I,2
61882,30432,I,3
61882,465531,I,4
61882,840671,R,1
61955,603402,I,1
61955,108400,I,2
61955,99677,I,3
61955,219342,I,4
61955,76,R,1
61996,636146,I,1
61996,346903,I,2
61996,136487,I,3
61996,405695,I,4
61996,975,R,1
62136,4244,I,1
62136,219332,I,2
62136,537392,I,3
62136,750114,I,4
62136,4244,R,1
62138,1511,I,1
62138,1141,I,2
62138,943978,I,3
62138,5279,I,4
62138,958,R,1
62168,232019,I,1
62168,445139,I,2
62168,791176,I,3
62168,2103,I,4
62168,1928,R,1
62229,1128,I,1
62229,673749,I,2
62229,217677,I,3
62229,742975,I,4
62229,578483,R,1
62376,1627,I,1
62376,2096,I,2
62376,730938,I,3
62376,447648,I,4
62376,165412,R,1
62407,30,I,1
62407,1215,I,2
62407,111376,I,3
62407,200122,I,4
62407,2045,R,1
62467,30,I,1
62467,273,I,2
62467,1077,I,3
62467,956544,I,4
62467,950109,R,1
62472,78,I,1
62472,18,I,2
62472,444476,I,3
62472,907480,I,4
62472,447944,R,1
62480,14800,I,1
62480,946179,I,2
62480,435726,I,3
62480,12734,I,4
62480,419,R,1
62512,125,I,1
62512,906686,I,2
62512,357240,I,3
62512,848533,I,4
62512,318150,R,1
62622,1158,I,1
62622,516972,I,2
62622,843213,I,3
62622,725220,I,4
62622,40,R,1
62687,136789,I,1
62687,603600,I,2
62687,206317,I,3
62687,51281,I,4
62687,331453,R,1
62687,879853,R,2
62695,529543,I,1
62695,415283,I,2
62695,786891,I,3
62695,3909,I,4
62695,76,R,1
62711,404,I,1
62711,492342,I,2
62711,657848,I,3
62711,642675,I,4
62711,671862,R,1
62755,348,I,1
62755,20,I,2
62755,1421,I,3
62755,446037,I,4
62755,281507,R,1
62759,631994,I,1
62759,337380,I,2
62759,592490,I,3
62759,660311,I,4
62759,301145,R,1
62765,537,I,1
62765,302,I,2
62765,1816,I,3
62765,330150,I,4
62765,946811,R,1
62803,1813,I,1
62803,398141,I,2
62803,420383,I,3
62803,1350,I,4
62803,400731,R,1
62824,142,I,1
62824,2011,I,2
62824,164540,I,3
62824,827594,I,4
62824,796923,R,1
62873,366,I,1
62873,1995,I,2
62873,233753,I,3
62873,674742,I,4
62873,218840,R,1
62885,489,I,1
62885,336509,I,2
62885,37316,I,3
62885,338839,I,4
62885,279807,R,1
62952,549134,I,1
62952,1687,I,2
62952,137524,I,3
62952,1025,I,4
62952,1023,R,1
62994,659,I,1
62994,1725,I,2
62994,575552,I,3
62994,4282,I,4
62994,943758,R,1
63032,4462,I,1
63032,1428,I,2
63032,938231,I,3
63032,569144,I,4
63032,179281,R,1
63035,78,I,1
63035,418148,I,2
63035,1380,I,3
63035,712731,I,4
63035,446129,R,1
63035,78,R,2
63035,503777,R,3
63121,1369,I,1
63121,308,I,2
63121,1526,I,3
63121,987,I,4
63121,836328,R,1
63227,564,I,1
63227,31,I,2
63227,164,I,3
63227,145284,I,4
63227,367431,R,1
63285,1637,I,1
63285,644707,I,2
63285,203959,I,3
63285,245495,I,4
63285,716262,R,1
63350,427977,I,1
63350,640621,I,2
63350,362457,I,3
63350,247659,I,4
63350,1681,R,1
63374,493,I,1
63374,527,I,2
63374,275835,I,3
63374,248983,I,4
63374,757256,R,1
63385,504492,I,1
63385,600531,I,2
63385,908861,I,3
63385,1657,I,4
63385,715346,R,1
63415,634,I,1
63415,519296,I,2
63415,96859,I,3
63415,141255,I,4
63415,1175,R,1
63442,32,I,1
63442,1522,I,2
63442,1375,I,3
63442,263052,I,4
63442,769874,R,1
63462,609216,I,1
63462,698,I,2
63462,790071,I,3
63462,550318,I,4
63462,316,R,1
63518,926013,I,1
63518,1377,I,2
63518,568491,I,3
63518,642675,I,4
63518,1874,R,1
63522,1201,I,1
63522,1023,I,2
63522,2106,I,3
63522,85782,I,4
63522,591,R,1
63555,157105,I,1
63555,17934,I,2
63555,303334,I,3
63555,311731,I,4
63555,660886,R,1
63611,880521,I,1
63611,1884,I,2
63611,299827,I,3
63611,85038,I,4
63611,5,R,1
63663,44,I,1
63663,484716,I,2
63663,750023,I,3
63663,1060280,I,4
63663,675068,R,1
63663,1628,R,2
63671,641517,I,1
63671,472,I,2
63671,677011,I,3
63671,484842,I,4
63671,953,R,1
63678,542146,I,1
63678,654,I,2
63678,320988,I,3
63678,926723,I,4
63678,1596,R,1
63688,537,I,1
63688,1159,I,2
63688,121826,I,3
63688,922967,I,4
63688,422484,R,1
63759,1884,I,1
63759,880521,I,2
63759,294892,I,3
63759,753062,I,4
63759,5,R,1
63803,172,I,1
63803,79203,I,2
63803,171801,I,3
63803,475580,I,4
63803,217,R,1
63823,5200,I,1
63823,365600,I,2
63823,823592,I,3
63823,6168,I,4
63823,242945,R,1
63829,840,I,1
63829,20,I,2
63829,4496,I,3
63829,873899,I,4
63829,789520,R,1
63850,532,I,1
63850,939642,I,2
63850,913264,I,3
63850,634708,I,4
63850,755,R,1
64040,893341,I,1
64040,582890,I,2
64040,144045,I,3
64040,797531,I,4
64040,578483,R,1
64072,323,I,1
64072,2145,I,2
64072,28674,I,3
64072,432007,I,4
64072,357891,R,1
64110,1719,I,1
64110,1816,I,2
64110,1262,I,3
64110,226947,I,4
64110,347086,R,1
64115,56,I,1
64115,602,I,2
64115,1684,I,3
64115,1510,I,4
64115,1351,R,1
64116,20,I,1
64116,314,I,2
64116,1012,I,3
64116,1673,I,4
64116,1466,R,1
64117,527,I,1
64117,6,I,2
64117,443,I,3
64117,922967,I,4
64117,757256,R,1
64177,967,I,1
64177,164540,I,2
64177,684521,I,3
64177,769974,I,4
64177,765121,R,1
64276,1228,I,1
64276,454,I,2
64276,197,I,3
64276,579234,I,4
64276,454,R,1
64418,659,I,1
64418,527,I,2
64418,186903,I,3
64418,564059,I,4
64418,37,R,1
64505,323,I,1
64505,2021,I,2
64505,1350,I,3
64505,885203,I,4
64505,172772,R,1
64541,103193,I,1
64541,323093,I,2
64541,282001,I,3
64541,674665,I,4
64541,516360,R,1
64603,427894,I,1
64603,497891,I,2
64603,866835,I,3
64603,4983,I,4
64603,829038,R,1
64612,4462,I,1
64612,264554,I,2
64612,56763,I,3
64612,900004,I,4
64612,6445,R,1
64615,60,I,1
64615,1725,I,2
64615,1699,I,3
64615,817122,I,4
64615,496746,R,1
64665,163,I,1
64665,685,I,2
64665,587249,I,3
64665,569410,I,4
64665,772259,R,1
64757,493872,I,1
64757,1671,I,2
64757,1699,I,3
64757,275213,I,4
64757,402597,R,1
64782,1511,I,1
64782,142,I,2
64782,781029,I,3
64782,696193,I,4
64782,517597,R,1
64793,880521,I,1
64793,761,I,2
64793,1884,I,3
64793,430746,I,4
64793,5,R,1
64840,1749,I,1
64840,413561,I,2
64840,827137,I,3
64840,291512,I,4
64840,623768,R,1
64940,693318,I,1
64940,445657,I,2
64940,97034,I,3
64940,709951,I,4
64940,19,R,1
65051,1258,I,1
65051,352466,I,2
65051,974,I,3
65051,604702,I,4
65051,447944,R,1
65063,95,I,1
65063,546755,I,2
65063,384787,I,3
65063,404985,I,4
65063,95,R,1
65088,404,I,1
65088,765546,I,2
65088,948772,I,3
65088,949574,I,4
65088,1628,R,1
65112,821277,I,1
65112,732184,I,2
65112,6893,I,3
65112,233312,I,4
65112,33,R,1
65126,78,I,1
65126,200981,I,2
65126,4794,I,3
65126,805177,I,4
65126,368871,R,1
65134,142,I,1
65134,511,I,2
65134,299578,I,3
65134,605494,I,4
65134,796923,R,1
65143,615540,I,1
65143,447648,I,2
65143,758066,I,3
65143,719960,I,4
65143,783,R,1
65207,9,I,1
65207,142,I,2
65207,881829,I,3
65207,943859,I,4
65207,404606,R,1
65214,34,I,1
65214,308,I,2
65214,752813,I,3
65214,639529,I,4
65214,1603,R,1
65234,598971,I,1
65234,660327,I,2
65234,4462,I,3
65234,673749,I,4
65234,2020,R,1
65377,44,I,1
65377,1509,I,2
65377,1421,I,3
65377,781029,I,4
65377,780833,R,1
65377,368871,R,2
65421,365201,I,1
65421,1247,I,2
65421,1359,I,3
65421,1079,I,4
65421,718627,R,1
65446,1673,I,1
65446,1771,I,2
65446,1831,I,3
65446,1510,I,4
65446,1603,R,1
65462,2082,I,1
65462,1375,I,2
65462,263052,I,3
65462,365709,I,4
65462,692872,R,1
65466,713820,I,1
65466,616675,I,2
65466,564394,I,3
65466,493677,I,4
65466,540,R,1
65528,273,I,1
65528,842,I,2
65528,907,I,3
65528,307316,I,4
65528,1566,R,1
65531,1128,I,1
65531,100186,I,2
65531,2231,I,3
65531,598971,I,4
65531,578483,R,1
65547,78,I,1
65547,875861,I,2
65547,313387,I,3
65547,424565,I,4
65547,572132,R,1
65571,4462,I,1
65571,762248,I,2
65571,608311,I,3
65571,850254,I,4
65571,934,R,1
65622,162948,I,1
65622,205793,I,2
65622,431270,I,3
65622,24187,I,4
65622,1596,R,1
65651,529543,I,1
65651,415283,I,2
65651,74575,I,3
65651,479209,I,4
65651,76,R,1
65724,197,I,1
65724,947,I,2
65724,124100,I,3
65724,280840,I,4
65724,706182,R,1
65761,2082,I,1
65761,1500,I,2
65761,816457,I,3
65761,135548,I,4
65761,783,R,1
65772,108400,I,1
65772,180454,I,2
65772,738789,I,3
65772,597492,I,4
65772,6445,R,1
65832,822205,I,1
65832,216,I,2
65832,519678,I,3
65832,439170,I,4
65832,782381,R,1
65889,2231,I,1
65889,93030,I,2
65889,764369,I,3
65889,650010,I,4
65889,677880,R,1
65938,142,I,1
65938,1699,I,2
65938,725543,I,3
65938,5279,I,4
65938,404606,R,1
65988,163,I,1
65988,1159,I,2
65988,313381,I,3
65988,842,I,4
65988,671957,R,1
66011,532298,I,1
66011,641939,I,2
66011,549134,I,3
66011,1537,I,4
66011,2137,R,1
66026,661,I,1
66026,1285,I,2
66026,643,I,3
66026,1419,I,4
66026,265,R,1
66049,1321,I,1
66049,752,I,2
66049,309070,I,3
66049,876797,I,4
66049,799033,R,1
66206,1715,I,1
66206,1500,I,2
66206,950079,I,3
66206,835021,I,4
66206,769874,R,1
66214,289038,I,1
66214,1396,I,2
66214,657848,I,3
66214,107894,I,4
66214,131910,R,1
66214,1676,R,2
66249,827137,I,1
66249,489,I,2
66249,86780,I,3
66249,656180,I,4
66249,697,R,1
66301,78,I,1
66301,729473,I,2
66301,642198,I,3
66301,1181,I,4
66301,1328,R,1
66319,53,I,1
66319,2145,I,2
66319,590055,I,3
66319,427756,I,4
66319,180,R,1
66344,1215,I,1
66344,27,I,2
66344,262725,I,3
66344,603336,I,4
66344,623768,R,1
66434,380,I,1
66434,587,I,2
66434,171824,I,3
66434,574114,I,4
66434,184,R,1
66473,842,I,1
66473,945522,I,2
66473,1673,I,3
66473,1072,I,4
66473,281507,R,1
66473,297935,R,2
66473,557927,R,3
66491,366,I,1
66491,721073,I,2
66491,626259,I,3
66491,304747,I,4
66491,320,R,1
66516,769972,I,1
66516,31788,I,2
66516,465948,I,3
66516,699366,I,4
66516,423180,R,1
66549,1768,I,1
66549,1626,I,2
66549,80,I,3
66549,370144,I,4
66549,94083,R,1
66601,292689,I,1
66601,356998,I,2
66601,280707,I,3
66601,819525,I,4
66601,774,R,1
66740,1637,I,1
66740,1072,I,2
66740,636075,I,3
66740,856103,I,4
66740,297523,R,1
66763,4435,I,1
66763,821,I,2
66763,764407,I,3
66763,219946,I,4
66763,611531,R,1
66765,92,I,1
66765,1589,I,2
66765,1037,I,3
66765,416,I,4
66765,534084,R,1
66769,647921,I,1
66769,384050,I,2
66769,915536,I,3
66769,3679,I,4
66769,936404,R,1
66808,95,I,1
66808,489837,I,2
66808,598823,I,3
66808,7707,I,4
66808,95,R,1
66817,1450,I,1
66817,866835,I,2
66817,1522,I,3
66817,415488,I,4
66817,829038,R,1
66817,453832,R,2
66819,142,I,1
66819,656183,I,2
66819,366946,I,3
66819,364860,I,4
66819,796923,R,1
66831,78,I,1
66831,95524,I,2
66831,58,I,3
66831,915618,I,4
66831,792450,R,1
66831,78,R,2
66892,197,I,1
66892,298,I,2
66892,307316,I,3
66892,268,I,4
66892,1566,R,1
66921,532,I,1
66921,535861,I,2
66921,60988,I,3
66921,165049,I,4
66921,40,R,1
66993,603,I,1
66993,1657,I,2
66993,840303,I,3
66993,12451,I,4
66993,1692,R,1
66995,125,I,1
66995,1762,I,2
66995,336509,I,3
66995,939836,I,4
66995,357891,R,1
66999,142,I,1
66999,732367,I,2
66999,345340,I,3
66999,763858,I,4
66999,796923,R,1
67065,1522,I,1
67065,1375,I,2
67065,226947,I,3
67065,874353,I,4
67065,852279,R,1
67093,867694,I,1
67093,186408,I,2
67093,294600,I,3
67093,682000,I,4
67093,422484,R,1
67116,432,I,1
67116,1702,I,2
67116,721073,I,3
67116,516215,I,4
67116,1243,R,1
67128,323,I,1
67128,376915,I,2
67128,1180,I,3
67128,651570,I,4
67128,388198,R,1
67140,1768,I,1
67140,336,I,2
67140,885123,I,3
67140,599998,I,4
67140,1466,R,1
67185,2106,I,1
67185,1069,I,2
67185,681954,I,3
67185,159258,I,4
67185,797,R,1
67277,961,I,1
67277,276293,I,2
67277,402554,I,3
67277,1673,I,4
67277,874308,R,1
67309,404,I,1
67309,661,I,2
67309,162541,I,3
67309,1702,I,4
67309,1587,R,1
67328,961,I,1
67328,313,I,2
67328,1732,I,3
67328,424565,I,4
67328,953,R,1
67334,537,I,1
67334,712022,I,2
67334,26130,I,3
67334,500318,I,4
67334,441914,R,1
67355,1352,I,1
67355,817881,I,2
67355,951597,I,3
67355,836387,I,4
67355,5645,R,1
67372,277424,I,1
67372,768,I,2
67372,789864,I,3
67372,63027,I,4
67372,591,R,1
67411,886,I,1
67411,1046,I,2
67411,41281,I,3
67411,1137,I,4
67411,265,R,1
67445,1958,I,1
67445,885123,I,2
67445,122780,I,3
67445,723235,I,4
67445,899581,R,1
67525,32,I,1
67525,1875,I,2
67525,143614,I,3
67525,467178,I,4
67525,755963,R,1
67541,587,I,1
67541,93937,I,2
67541,706256,I,3
67541,443191,I,4
67541,467646,R,1
67549,199,I,1
67549,935345,I,2
67549,899106,I,3
67549,109175,I,4
67549,770234,R,1
67588,142,I,1
67588,910055,I,2
67588,5234,I,3
67588,488024,I,4
67588,142,R,1
67656,805,I,1
67656,685559,I,2
67656,131294,I,3
67656,741120,I,4
67656,878,R,1
67741,745780,I,1
67741,348214,I,2
67741,162541,I,3
67741,820626,I,4
67741,662953,R,1
67756,1136,I,1
67756,693420,I,2
67756,726492,I,3
67756,6956,I,4
67756,874320,R,1
67770,314,I,1
67770,1536,I,2
67770,1128,I,3
67770,266,I,4
67770,950109,R,1
67778,557159,I,1
67778,274731,I,2
67778,4625,I,3
67778,3909,I,4
67778,1501,R,1
67800,163,I,1
67800,1265,I,2
67800,891092,I,3
67800,571435,I,4
67800,1603,R,1
67824,45,I,1
67824,947935,I,2
67824,862875,I,3
67824,62531,I,4
67824,516344,R,1
67824,156927,R,2
67866,423524,I,1
67866,423526,I,2
67866,499191,I,3
67866,778,I,4
67866,423524,R,1
67893,852510,I,1
67893,643105,I,2
67893,83401,I,3
67893,933287,I,4
67893,375494,R,1
67900,1128,I,1
67900,1077,I,2
67900,366,I,3
67900,190977,I,4
67900,578483,R,1
67927,628017,I,1
67927,1476,I,2
67927,1648,I,3
67927,415591,I,4
67927,764781,R,1
67959,256,I,1
67959,347858,I,2
67959,736312,I,3
67959,576851,I,4
67959,1676,R,1
67992,698,I,1
67992,16776,I,2
67992,652578,I,3
67992,455702,I,4
67992,835799,R,1
68154,1352,I,1
68154,817881,I,2
68154,813805,I,3
68154,850254,I,4
68154,5645,R,1
68156,200122,I,1
68156,196247,I,2
68156,397432,I,3
68156,534577,I,4
68156,402596,R,1
68182,1428,I,1
68182,346087,I,2
68182,737928,I,3
68182,215683,I,4
68182,1348,R,1
68240,493,I,1
68240,5236,I,2
68240,720890,I,3
68240,28647,I,4
68240,697,R,1
68278,141380,I,1
68278,778016,I,2
68278,769440,I,3
68278,559837,I,4
68278,1202,R,1
68309,1347,I,1
68309,1016,I,2
68309,697587,I,3
68309,143378,I,4
68309,217,R,1
68327,591485,I,1
68327,1868,I,2
68327,340926,I,3
68327,1297,I,4
68327,2080,R,1
68334,602,I,1
68334,1967,I,2
68334,2048,I,3
68334,692093,I,4
68334,6916,R,1
68361,721073,I,1
68361,786891,I,2
68361,291289,I,3
68361,644680,I,4
68361,320,R,1
68408,1522,I,1
68408,614916,I,2
68408,1544,I,3
68408,874353,I,4
68408,496746,R,1
68421,78,I,1
68421,1975,I,2
68421,1136,I,3
68421,223157,I,4
68421,41932,R,1
68473,685,I,1
68473,608,I,2
68473,885,I,3
68473,1074,I,4
